study,year,trt.no,herb,rate,product.rate,rate.descrip,overdrive,overdrive.yn,plot,blk,percon.24
1,2005,1,Tordon,0.56,1qt,com,0,n,108,1,97
1,2005,1,Tordon,0.56,1qt,com,0,n,201,2,95
1,2005,1,Tordon,0.56,1qt,com,0,n,308,3,98
1,2005,1,Tordon,0.56,1qt,com,0,n,404,4,99
1,2005,2,Tordon,0.28,1pt,red,0,n,114,1,83
1,2005,2,Tordon,0.28,1pt,red,0,n,215,2,92
1,2005,2,Tordon,0.28,1pt,red,0,n,318,3,98
1,2005,2,Tordon,0.28,1pt,red,0,n,419,4,90
1,2005,3,Curtail,2,3qt,com,0,n,119,1,90
1,2005,3,Curtail,2,3qt,com,0,n,206,2,86
1,2005,3,Curtail,2,3qt,com,0,n,309,3,40
1,2005,3,Curtail,2,3qt,com,0,n,410,4,0
1,2005,4,Curtail,1,1.5qt,red,0,n,103,1,0
1,2005,4,Curtail,1,1.5qt,red,0,n,211,2,10
1,2005,4,Curtail,1,1.5qt,red,0,n,301,3,35
1,2005,4,Curtail,1,1.5qt,red,0,n,418,4,70
1,2005,5,Transline,0.56,1.33pt,com,0,n,113,1,85
1,2005,5,Transline,0.56,1.33pt,com,0,n,212,2,96
1,2005,5,Transline,0.56,1.33pt,com,0,n,317,3,98
1,2005,5,Transline,0.56,1.33pt,com,0,n,417,4,95
1,2005,6,Transline,0.28,0.66pt,red,0,n,107,1,50
1,2005,6,Transline,0.28,0.66pt,red,0,n,202,2,72
1,2005,6,Transline,0.28,0.66pt,red,0,n,310,3,35
1,2005,6,Transline,0.28,0.66pt,red,0,n,403,4,83
1,2005,7,Milestone,0.12,7oz,com,0,n,101,1,92
1,2005,7,Milestone,0.12,7oz,com,0,n,204,2,94
1,2005,7,Milestone,0.12,7oz,com,0,n,304,3,75
1,2005,7,Milestone,0.12,7oz,com,0,n,411,4,92
1,2005,8,Milestone,0.05,3oz,red,0,n,112,1,50
1,2005,8,Milestone,0.05,3oz,red,0,n,207,2,60
1,2005,8,Milestone,0.05,3oz,red,0,n,316,3,95
1,2005,8,Milestone,0.05,3oz,red,0,n,409,4,89
1,2005,12,Curtail,2,3qt,com,4oz,y,111,1,0
1,2005,12,Curtail,2,3qt,com,4oz,y,213,2,0
1,2005,12,Curtail,2,3qt,com,4oz,y,303,3,45
1,2005,12,Curtail,2,3qt,com,4oz,y,406,4,78
1,2005,13,Curtail,1,1.5qt,red,4oz,y,102,1,0
1,2005,13,Curtail,1,1.5qt,red,4oz,y,214,2,0
1,2005,13,Curtail,1,1.5qt,red,4oz,y,305,3,40
1,2005,13,Curtail,1,1.5qt,red,4oz,y,416,4,85
1,2005,14,Transline,0.56,1.33pt,com,4oz,y,116,1,99
1,2005,14,Transline,0.56,1.33pt,com,4oz,y,203,2,90
1,2005,14,Transline,0.56,1.33pt,com,4oz,y,315,3,97
1,2005,14,Transline,0.56,1.33pt,com,4oz,y,402,4,98
1,2005,15,Transline,0.28,0.66pt,red,4oz,y,120,1,89
1,2005,15,Transline,0.28,0.66pt,red,4oz,y,219,2,94
1,2005,15,Transline,0.28,0.66pt,red,4oz,y,320,3,96
1,2005,15,Transline,0.28,0.66pt,red,4oz,y,413,4,92
1,2005,16,Milestone,0.12,7oz,com,4oz,y,110,1,89
1,2005,16,Milestone,0.12,7oz,com,4oz,y,216,2,93
1,2005,16,Milestone,0.12,7oz,com,4oz,y,312,3,94
1,2005,16,Milestone,0.12,7oz,com,4oz,y,405,4,97
1,2005,17,Milestone,0.05,3oz,red,4oz,y,117,1,96
1,2005,17,Milestone,0.05,3oz,red,4oz,y,218,2,97
1,2005,17,Milestone,0.05,3oz,red,4oz,y,319,3,97
1,2005,17,Milestone,0.05,3oz,red,4oz,y,415,4,87
1,2005,18,Tordon,0.56,1qt,com,4oz,y,104,1,83
1,2005,18,Tordon,0.56,1qt,com,4oz,y,210,2,95
1,2005,18,Tordon,0.56,1qt,com,4oz,y,313,3,97
1,2005,18,Tordon,0.56,1qt,com,4oz,y,414,4,98
1,2005,19,Tordon,0.28,1pt,red,4oz,y,106,1,78
1,2005,19,Tordon,0.28,1pt,red,4oz,y,208,2,82
1,2005,19,Tordon,0.28,1pt,red,4oz,y,314,3,94
1,2005,19,Tordon,0.28,1pt,red,4oz,y,401,4,87
1,2005,21,Redeem,1.68,2qt,com,0,n,121,1,99
1,2005,21,Redeem,1.68,2qt,com,0,n,223,2,96
1,2005,21,Redeem,1.68,2qt,com,0,n,322,3,94
1,2005,21,Redeem,1.68,2qt,com,0,n,421,4,75
1,2005,22,Redeem,0.84,1qt,red,0,n,123,1,78
1,2005,22,Redeem,0.84,1qt,red,0,n,222,2,65
1,2005,22,Redeem,0.84,1qt,red,0,n,321,3,90
1,2005,22,Redeem,0.84,1qt,red,0,n,422,4,55
1,2005,23,Redeem,1.68,2qt,com,4oz,y,122,1,99
1,2005,23,Redeem,1.68,2qt,com,4oz,y,224,2,75
1,2005,23,Redeem,1.68,2qt,com,4oz,y,323,3,93
1,2005,23,Redeem,1.68,2qt,com,4oz,y,423,4,75
1,2005,24,Redeem,0.84,1qt,red,4oz,y,124,1,60
1,2005,24,Redeem,0.84,1qt,red,4oz,y,221,2,55
1,2005,24,Redeem,0.84,1qt,red,4oz,y,324,3,60
1,2005,24,Redeem,0.84,1qt,red,4oz,y,424,4,65
2,2006,1,Tordon,0.56,1qt,com,0,n,121,1,92
2,2006,1,Tordon,0.56,1qt,com,0,n,214,2,70
2,2006,1,Tordon,0.56,1qt,com,0,n,306,3,70
2,2006,1,Tordon,0.56,1qt,com,0,n,402,4,85
2,2006,2,Tordon,0.28,1pt,red,0,n,116,1,80
2,2006,2,Tordon,0.28,1pt,red,0,n,207,2,75
2,2006,2,Tordon,0.28,1pt,red,0,n,308,3,82
2,2006,2,Tordon,0.28,1pt,red,0,n,417,4,70
2,2006,3,Curtail,2,3qt,com,0,n,120,1,85
2,2006,3,Curtail,2,3qt,com,0,n,220,2,95
2,2006,3,Curtail,2,3qt,com,0,n,314,3,79
2,2006,3,Curtail,2,3qt,com,0,n,416,4,80
2,2006,4,Curtail,1,1.5qt,red,0,n,109,1,70
2,2006,4,Curtail,1,1.5qt,red,0,n,205,2,55
2,2006,4,Curtail,1,1.5qt,red,0,n,303,3,80
2,2006,4,Curtail,1,1.5qt,red,0,n,421,4,80
2,2006,5,Transline,0.56,1.33pt,com,0,n,113,1,100
2,2006,5,Transline,0.56,1.33pt,com,0,n,218,2,85
2,2006,5,Transline,0.56,1.33pt,com,0,n,302,3,87
2,2006,5,Transline,0.56,1.33pt,com,0,n,406,4,70
2,2006,6,Transline,0.28,0.66pt,red,0,n,106,1,94
2,2006,6,Transline,0.28,0.66pt,red,0,n,209,2,70
2,2006,6,Transline,0.28,0.66pt,red,0,n,318,3,45
2,2006,6,Transline,0.28,0.66pt,red,0,n,413,4,60
2,2006,7,Milestone,0.12,7oz,com,0,n,122,1,97
2,2006,7,Milestone,0.12,7oz,com,0,n,206,2,90
2,2006,7,Milestone,0.12,7oz,com,0,n,323,3,97
2,2006,7,Milestone,0.12,7oz,com,0,n,423,4,100
2,2006,8,Milestone,0.05,3oz,red,0,n,117,1,83
2,2006,8,Milestone,0.05,3oz,red,0,n,210,2,45
2,2006,8,Milestone,0.05,3oz,red,0,n,317,3,25
2,2006,8,Milestone,0.05,3oz,red,0,n,408,4,20
2,2006,12,Curtail,2,3qt,com,4oz,y,124,1,90
2,2006,12,Curtail,2,3qt,com,4oz,y,219,2,90
2,2006,12,Curtail,2,3qt,com,4oz,y,311,3,82
2,2006,12,Curtail,2,3qt,com,4oz,y,411,4,55
2,2006,13,Curtail,1,1.5qt,red,4oz,y,112,1,60
2,2006,13,Curtail,1,1.5qt,red,4oz,y,224,2,92
2,2006,13,Curtail,1,1.5qt,red,4oz,y,307,3,40
2,2006,13,Curtail,1,1.5qt,red,4oz,y,407,4,0
2,2006,14,Transline,0.56,1.33pt,com,4oz,y,108,1,100
2,2006,14,Transline,0.56,1.33pt,com,4oz,y,204,2,93
2,2006,14,Transline,0.56,1.33pt,com,4oz,y,316,3,80
2,2006,14,Transline,0.56,1.33pt,com,4oz,y,414,4,88
2,2006,15,Transline,0.28,0.66pt,red,4oz,y,107,1,90
2,2006,15,Transline,0.28,0.66pt,red,4oz,y,215,2,40
2,2006,15,Transline,0.28,0.66pt,red,4oz,y,319,3,30
2,2006,15,Transline,0.28,0.66pt,red,4oz,y,410,4,25
2,2006,16,Milestone,0.12,7oz,com,4oz,y,118,1,100
2,2006,16,Milestone,0.12,7oz,com,4oz,y,203,2,100
2,2006,16,Milestone,0.12,7oz,com,4oz,y,320,3,99
2,2006,16,Milestone,0.12,7oz,com,4oz,y,404,4,80
2,2006,17,Milestone,0.05,3oz,red,4oz,y,119,1,82
2,2006,17,Milestone,0.05,3oz,red,4oz,y,208,2,60
2,2006,17,Milestone,0.05,3oz,red,4oz,y,310,3,65
2,2006,17,Milestone,0.05,3oz,red,4oz,y,419,4,82
2,2006,18,Tordon,0.56,1qt,com,4oz,y,103,1,97
2,2006,18,Tordon,0.56,1qt,com,4oz,y,222,2,100
2,2006,18,Tordon,0.56,1qt,com,4oz,y,315,3,60
2,2006,18,Tordon,0.56,1qt,com,4oz,y,405,4,65
2,2006,19,Tordon,0.28,1pt,red,4oz,y,111,1,84
2,2006,19,Tordon,0.28,1pt,red,4oz,y,221,2,100
2,2006,19,Tordon,0.28,1pt,red,4oz,y,301,3,78
2,2006,19,Tordon,0.28,1pt,red,4oz,y,422,4,77
2,2006,21,Redeem,1.68,2qt,com,0,n,105,1,98
2,2006,21,Redeem,1.68,2qt,com,0,n,202,2,80
2,2006,21,Redeem,1.68,2qt,com,0,n,321,3,100
2,2006,21,Redeem,1.68,2qt,com,0,n,403,4,85
2,2006,22,Redeem,0.84,1qt,red,0,n,101,1,85
2,2006,22,Redeem,0.84,1qt,red,0,n,213,2,45
2,2006,22,Redeem,0.84,1qt,red,0,n,305,3,20
2,2006,22,Redeem,0.84,1qt,red,0,n,415,4,78
2,2006,23,Redeem,1.68,2qt,com,4oz,y,123,1,90
2,2006,23,Redeem,1.68,2qt,com,4oz,y,223,2,100
2,2006,23,Redeem,1.68,2qt,com,4oz,y,313,3,90
2,2006,23,Redeem,1.68,2qt,com,4oz,y,418,4,90
2,2006,24,Redeem,0.84,1qt,red,4oz,y,115,1,40
2,2006,24,Redeem,0.84,1qt,red,4oz,y,216,2,10
2,2006,24,Redeem,0.84,1qt,red,4oz,y,304,3,35
2,2006,24,Redeem,0.84,1qt,red,4oz,y,420,4,80
